,group,kn_GW170817_counts,kn_GW170817_error,kn_Maf_Mean_Counts,kn_Pop_kNe_counts,kn_Pop_kNe_error,static_median Y1 $i$-band coadded depth in effective survey area,static_median Y10 $i$-band coadded depth in effective survey area,static_median Y3 $i$-band coadded depth in effective survey area,static_median Y6 $i$-band coadded depth in effective survey area,static_stddev of Y1 $i$-band coadded depth in effective survey area,static_stddev of Y10 $i$-band coadded depth in effective survey area,static_stddev of Y3 $i$-band coadded depth in effective survey area,static_stddev of Y6 $i$-band coadded depth in effective survey area,static_Y1 effective survey area,static_Y10 effective survey area,static_Y3 effective survey area,static_Y6 effective survey area,lss_diagnostic FOM Y1,lss_diagnostic FOM Y10,lss_Y1 Ngal (0.66<z<1.0),lss_Y10 Ngal (0.66<z<1.0),sl_num_lensed_SNe_Ia_with_good_time_delays_lensed_by_galaxies,sl_num_lensed_quasars_with_good_time_delays,sl_td_all_bands_distance_precision,sl_num_lensed_SNe_Ia_in_specific_galaxy_clusters,sl_std_num_lensed_SNe_Ia_in_specific_galaxy_clusters ,sn_faint_nsn_tot,sn_faint_zmax,sn_normal_nsn_tot,sn_faint_snr_rate,sn_faint_zlim_r,sn_normal_zmax,wl_fom,wl_systematics,pz_y10_zlow_fout,pz_y10_zlow_stdd,pz_y10_zlow_bias,pz_y10_zhigh_fout,pz_y10_zhigh_stdd,pz_y10_zhigh_bias
wfd_depth_scale0.70_v1.4_10yrs.db,wfd_depth,69.4,8.33066624,28.59104331,26.6,5.157518783,24.99,26.2,25.6,25.94,0.15,0.11,0.12,0.12,14816.68,14928.83,15162.47,14982.86,0.8689005029,0.9635826577,4.32E+08,9.31E+08,29.11639049,452,0.2581818904,0.16,0.11,37008,0.17,120920,0.5556,0.2848,0.26,34.47873762,172.3252125,,,,,,
wfd_depth_scale0.75_noddf_v1.4_10yrs.db,wfd_depth,93,9.643650761,33.22440945,36.2,6.016643583,25.1,26.29,25.7,26.03,0.16,0.12,0.14,0.13,15152.5,15328.91,15356.29,15339.04,0.885512791,0.9740797177,4.43E+08,9.59E+08,31.48234313,472,0.2466444795,0.21,0.11,44931,0.18,154609,0.5802,0.2912,0.27,35.76983126,195.2180513,,,,,,
wfd_depth_scale0.75_v1.4_10yrs.db,wfd_depth,77.2,8.786353055,29.01771654,26.2,5.118593557,25.04,26.22,25.63,25.96,0.16,0.12,0.13,0.12,15046.8,15059.81,15254.63,15143.69,0.8736975618,0.9678438558,4.39E+08,9.40E+08,29.59682732,450,0.2570796975,0.15,0.11,38485,0.17,125512,0.5612,0.2862,0.26,34.85906666,175.902954,,,,,,
wfd_depth_scale0.80_noddf_v1.4_10yrs.db,wfd_depth,97.2,9.859006035,33.65895669,35,5.916079783,25.11,26.3,25.71,26.04,0.16,0.13,0.14,0.13,15254.63,15344.86,15363.17,15356.82,0.8837224495,0.9760618106,4.46E+08,9.60E+08,31.82796019,471,0.2461889983,0.19,0.11,46704,0.18,161125,0.5806,0.2931,0.28,35.91725055,200.9610579,,,,,,
wfd_depth_scale0.80_v1.4_10yrs.db,wfd_depth,90.6,9.518403227,29.50590551,35.2,5.93295879,25.05,26.24,25.65,25.98,0.16,0.12,0.13,0.13,15066.42,15149.88,15316.64,15195.04,0.8756395133,0.9709923136,4.40E+08,9.46E+08,30.09354257,452,0.25651676,0.2,0.11,40400,0.17,131369,0.561,0.2888,0.26,35.1797992,181.4688084,,,,,,
wfd_depth_scale0.85_noddf_v1.4_10yrs.db,wfd_depth,103.2,10.15874008,34.1988189,38,6.164414003,25.14,26.33,25.74,26.07,0.16,0.13,0.14,0.14,15330.54,15346.9,15396.06,15363.06,0.8927012956,0.9773235553,4.49E+08,9.61E+08,32.3179202,465,0.2479531328,0.19,0.12,49320,0.18,169570,0.5833,0.2967,0.28,36.13890895,209.7871522,,,,,,
wfd_depth_scale0.85_v1.4_10yrs.db,wfd_depth,86,9.273618495,29.81496063,36,6,25.06,26.26,25.67,26,0.16,0.12,0.14,0.13,15132.62,15146.16,15290.67,15188.28,0.889558155,0.9750137925,4.42E+08,9.47E+08,30.59968152,428,0.261457267,0.2,0.11,42228,0.17,138219,0.5644,0.2919,0.27,35.28587991,189.8150115,,,,,,
wfd_depth_scale0.90_noddf_v1.4_10yrs.db,wfd_depth,112.4,10.60188662,34.91387795,39.6,6.292853089,25.16,26.36,25.77,26.1,0.17,0.13,0.15,0.14,15381.26,15256.68,15355.77,15290.51,0.8924348776,0.9826433678,4.50E+08,9.56E+08,32.69720229,424,0.2518393028,0.2,0.11,52583,0.18,179994,0.5909,0.3001,0.29,36.05280771,219.5530989,,,,,,
wfd_depth_scale0.90_v1.4_10yrs.db,wfd_depth,90.2,9.497368056,30.48179134,36.2,6.016643583,25.08,26.29,25.69,26.02,0.16,0.13,0.13,0.13,15143.95,15086.78,15239.74,15140.02,0.8827137522,0.9772859591,4.42E+08,9.44E+08,30.98994894,406,0.2620989685,0.17,0.11,45119,0.18,148292,0.5765,0.295,0.27,35.26343921,197.7427692,,,,,,
wfd_depth_scale0.95_noddf_v1.4_10yrs.db,wfd_depth,116.8,10.80740487,36.25787402,41.8,6.46529195,25.17,26.38,25.78,26.12,0.17,0.14,0.15,0.14,15268.06,15242.99,15327.76,15263.18,0.8906857609,0.9826570012,4.47E+08,9.56E+08,32.78531767,429,0.2476767554,0.2,0.11,57571,0.19,194469,0.5963,0.3083,0.3,36.14053107,229.371302,,,,,,
wfd_depth_scale0.95_v1.4_10yrs.db,wfd_depth,100.2,10.009995,31.6351551,33.6,5.796550698,25.09,26.31,25.71,26.05,0.15,0.13,0.14,0.13,15116.05,15131.31,15237.32,15154.81,0.8914959669,0.9791280005,4.42E+08,9.47E+08,31.20670039,411,0.2577448161,0.17,0.11,50073,0.18,164054,0.5824,0.3021,0.29,35.42926074,206.8626655,,,,,,
wfd_depth_scale0.99_noddf_v1.4_10yrs.db,wfd_depth,124.4,11.15347479,36.93297191,46.8,6.841052551,25.18,26.4,25.79,26.14,0.17,0.14,0.15,0.14,15254.06,15238.95,15304.41,15258.15,0.8927896395,0.9827354365,4.47E+08,9.56E+08,33.08508329,434,0.2447204569,0.18,0.11,63661,0.2,213407,0.6061,0.3115,0.31,36.27680389,237.6744272,,,,,,
wfd_depth_scale0.99_v1.4_10yrs.db,wfd_depth,107.4,10.36339713,32.60453649,36.8,6.066300355,25.11,26.34,25.72,26.07,0.16,0.13,0.14,0.14,15171.39,15142.54,15235.85,15173.59,0.8871850421,0.9788331646,4.44E+08,9.49E+08,31.70909284,417,0.2542148054,0.17,0.1,54079,0.19,177828,0.5812,0.3054,0.3,35.67731492,214.4238087,,,,,,
